1,#ioc,#lowercase_no_space,#orig,#ip,#Whois,#Notes,#feed_name
2,sinkhole_anubis,anubis,Anubis,195.22.26.192/26,anubisnetworks.com,"CAUTION: Broad Range, contains some public web presence. ET signature FPs.",sinkhole_ip_tisiphone
3,sinkhole_arbor_networks_asert,arbor_networks_asert,Arbor Networks ASERT,23.253.126.58/32,arbor-sinkhole.net,http://www.malwareurl.com/ns_listing.php?ns=ns1.arbor-sinkhole.net,sinkhole_ip_tisiphone
3,sinkhole_arbor_networks_asert,arbor_networks_asert,Arbor Networks ASERT,168.181.184.35/32,arbor-sinkhole.net,http://www.malwareurl.com/ns_listing.php?ns=ns1.arbor-sinkhole.net,sinkhole_ip_tisiphone
4,sinkhole_blacklab.io,blacklab.io,Blacklab.io,67.215.255.139/32,sinkhole.blacklab.io,,sinkhole_ip_tisiphone
5,sinkhole_blacklistthisdomain,blacklistthisdomain,blacklistthisdomain,106.187.96.49/32,sinkhole.blacklistthisdomain.com,,sinkhole_ip_tisiphone
5,sinkhole_blacklistthisdomain,blacklistthisdomain,blacklistthisdomain,81.166.122.234/32,sinkhole.blacklistthisdomain.com,,sinkhole_ip_tisiphone
6,sinkhole_botnet_hunter,botnet_hunter,Botnet Hunter,52.5.245.208/32,ec2-52-5-245-208.compute-1.amazonaws.com,,sinkhole_ip_tisiphone
7,sinkhole_cert_polska,cert_polska,CERT Polska,148.81.111.111/32,sinkhole.cert.pl,,sinkhole_ip_tisiphone
7,sinkhole_cert_polska,cert_polska,CERT Polska,148.81.111.91/32,sinkhole.cert.pl,,sinkhole_ip_tisiphone
7,sinkhole_cert_polska,cert_polska,CERT Polska,148.81.111.114/32,sinkhole.cert.pl,,sinkhole_ip_tisiphone
8,sinkhole_conficker_working_group,conficker_working_group,Conficker Working Group,136.161.101.53/32,conficker-sinkhole.com,,sinkhole_ip_tisiphone
9,sinkhole_dr._web,dr._web,Dr. Web,91.233.244.106/32,,http://doc.emergingthreats.net/bin/view/Main/2016997,sinkhole_ip_tisiphone
10,sinkhole_endgame,endgame,Endgame,166.78.144.80/32,s01.snkhole.mal-ware.susp-nded.domain,http://www.kleissner.org,sinkhole_ip_tisiphone
11,sinkhole_farsight,farsight,Farsight,104.244.12.0/22,sinkhole-iad1-2.cwg.fsi.io,,sinkhole_ip_tisiphone
12,sinkhole_fbi,fbi,FBI,142.0.36.234/32,VolumeDrive,https://www.proofpoint.com/us/daily-ruleset-update-summary-2014-06-03,sinkhole_ip_tisiphone
13,sinkhole_fitsec,fitsec,Fitsec,193.166.255.171/32,Funet CERT,,sinkhole_ip_tisiphone
